SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,Region
1,2024-06-04,46,2,5,1449.1,7245.5,South
2,2024-11-01,27,6,8,1900.29,15202.32,Central
3,2024-07-22,85,9,8,1057.98,8463.84,North
4,2024-06-23,14,7,4,2617.54,10470.16,East
5,2024-04-05,99,11,6,1149.56,6897.36,South
6,2024-10-17,72,5,7,996.71,6976.97,South
7,2024-04-29,5,15,9,2404.15,21637.35,South
8,2024-04-08,95,1,4,349.88,1399.52,West
9,2024-04-06,79,8,1,1125.89,1125.89,East
10,2024-05-30,70,2,4,1449.1,5796.4,Central
11,2024-01-28,6,5,10,996.71,9967.1,West
12,2024-07-08,95,2,7,1449.1,10143.7,South
13,2024-12-13,96,5,7,996.71,6976.97,West
14,2024-07-26,45,8,9,1125.89,10133.01,North
15,2024-04-14,97,4,7,192.66,1348.62,North
16,2024-08-27,28,12,7,2154.78,15083.46,North
17,2024-11-17,73,9,9,1057.98,9521.82,East
18,2024-04-04,4,12,2,2154.78,4309.56,Central
19,2024-07-19,81,4,10,192.66,1926.6,North
20,2024-12-14,42,14,1,1021.0,1021.0,West
21,2024-05-03,95,14,9,1021.0,9189.0,East
22,2024-09-17,47,15,4,2404.15,9616.6,South
23,2024-03-18,90,14,8,1021.0,8168.0,North
24,2024-07-23,96,14,5,1021.0,5105.0,East
25,2024-09-30,100,5,9,996.71,8970.39,North
26,2024-11-22,84,8,1,1125.89,1125.89,East
27,2024-12-19,98,9,8,1057.98,8463.84,North
28,2024-03-15,88,6,7,1900.29,13302.03,South
29,2024-09-06,6,7,6,2617.54,15705.24,East
30,2024-10-11,12,14,1,1021.0,1021.0,North
31,2024-04-28,18,2,5,1449.1,7245.5,Central
32,2024-10-24,27,12,2,2154.78,4309.56,South
33,2024-06-13,80,1,9,349.88,3148.92,North
34,2024-10-08,81,4,7,192.66,1348.62,North
35,2024-08-25,61,14,1,1021.0,1021.0,North
36,2024-01-02,84,11,7,1149.56,8046.92,South
37,2024-04-26,29,2,9,1449.1,13041.9,East
38,2024-11-21,47,1,8,349.88,2799.04,East
39,2024-06-14,11,11,1,1149.56,1149.56,North
40,2024-02-02,4,1,4,349.88,1399.52,North
41,2024-08-13,7,12,5,2154.78,10773.9,North
42,2024-03-31,5,7,5,2617.54,13087.7,North
43,2024-08-01,82,10,8,2510.69,20085.52,East
44,2024-03-14,37,15,9,2404.15,21637.35,West
45,2024-11-21,94,9,8,1057.98,8463.84,North
46,2024-10-01,10,14,10,1021.0,10210.0,South
47,2024-07-04,1,7,7,2617.54,18322.78,East
48,2024-12-06,29,1,9,349.88,3148.92,Central
49,2024-04-29,1,10,2,2510.69,5021.38,South
50,2024-12-13,34,12,7,2154.78,15083.46,Central
51,2024-12-07,15,4,9,192.66,1733.94,South
52,2024-01-15,35,8,5,1125.89,5629.45,North
53,2024-03-31,55,15,2,2404.15,4808.3,Central
54,2024-08-01,15,1,6,349.88,2099.28,West
55,2024-04-06,39,14,3,1021.0,3063.0,West
56,2024-03-03,83,2,1,1449.1,1449.1,West
57,2024-11-23,3,14,9,1021.0,9189.0,East
58,2024-07-14,42,3,8,2346.24,18769.92,South
59,2024-10-28,61,2,1,1449.1,1449.1,Central
60,2024-02-26,86,6,6,1900.29,11401.74,West
61,2024-05-22,48,7,4,2617.54,10470.16,Central
62,2024-09-18,71,6,9,1900.29,17102.61,West
63,2024-02-10,66,12,4,2154.78,8619.12,West
64,2024-01-09,42,10,3,2510.69,7532.07,North
65,2024-11-26,5,15,5,2404.15,12020.75,South
66,2024-10-27,100,6,2,1900.29,3800.58,South
67,2024-06-23,95,8,2,1125.89,2251.78,West
68,2024-01-14,16,8,6,1125.89,6755.34,East
69,2024-11-09,12,4,8,192.66,1541.28,South
70,2024-11-23,87,3,6,2346.24,14077.44,Central
71,2024-09-14,31,6,5,1900.29,9501.45,South
72,2024-08-31,34,13,2,357.54,715.08,East
73,2024-01-26,35,4,4,192.66,770.64,West
74,2024-07-19,69,2,7,1449.1,10143.7,West
75,2024-10-05,18,12,3,2154.78,6464.34,West
76,2024-02-22,1,15,5,2404.15,12020.75,East
77,2024-12-17,27,6,10,1900.29,19002.9,South
78,2024-10-23,13,9,1,1057.98,1057.98,South
79,2024-12-10,9,8,10,1125.89,11258.9,East
80,2024-03-12,97,6,4,1900.29,7601.16,Central
81,2024-04-03,77,6,1,1900.29,1900.29,East
82,2024-06-24,56,7,1,2617.54,2617.54,Central
83,2024-07-22,40,14,8,1021.0,8168.0,South
84,2024-12-10,27,12,10,2154.78,21547.8,South
85,2024-04-25,73,12,4,2154.78,8619.12,West
